name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
,,,,,,"Yellow Gold|7",ENG-HALO-CU-YG-7,229900,standard,5,true,,metal:Yellow Gold
,,,,,,"Rose Gold|6",ENG-HALO-CU-RG-6,229900,standard,5,true,,metal:Rose Gold
,,,,,,"Rose Gold|7",ENG-HALO-CU-RG-7,229900,standard,5,true,,metal:Rose Gold
,,,,,,"Platinum|6",ENG-HALO-CU-PT-6,279900,standard,3,true,,metal:Platinum
,,,,,,"Platinum|7",ENG-HALO-CU-PT-7,279900,standard,3,true,,metal:Platinum
Princess Cut Solitaire Diamond Ring,princess-cut-solitaire-diamond-ring,"A modern and elegant princess cut diamond set in a sleek four-prong solitaire setting. The square shape offers a contemporary look with brilliant sparkle that captures light from every angle.",,category:Rings|type:Engagement Ring|shape:Princess|style:Solitaire,Metal|Ring Size,White Gold|6,ENG-SOL-PR-WG-6,169900,standard,5,true,,metal:White Gold
,,,,,,"White Gold|7",ENG-SOL-PR-WG-7,169900,standard,5,true,,metal:White Gold
,,,,,,"Yellow Gold|6",ENG-SOL-PR-YG-6,169900,standard,5,true,,metal:Yellow Gold
,,,,,,"Yellow Gold|7",ENG-SOL-PR-YG-7,169900,standard,5,true,,metal:Yellow Gold
,,,,,,"Rose Gold|6",ENG-SOL-PR-RG-6,169900,standard,5,true,,metal:Rose Gold
,,,,,,"Rose Gold|7",ENG-SOL-PR-RG-7,169900,standard,5,true,,metal:Rose Gold
,,,,,,"Platinum|6",ENG-SOL-PR-PT-6,209900,standard,3,true,,metal:Platinum
,,,,,,"Platinum|7",ENG-SOL-PR-PT-7,209900,standard,3,true,,metal:Platinum
Oval Cut Diamond Engagement Ring,oval-cut-diamond-engagement-ring,"An elongated oval diamond in a slim pave band creates an elegant, finger-flattering look. This romantic cut maximizes the diamond's brilliance and gives the appearance of a larger stone.",,category:Rings|type:Engagement Ring|shape:Oval|style:Solitaire,Metal|Ring Size,White Gold|6,ENG-SOL-OV-WG-6,189900,standard,5,true,,metal:White Gold
,,,,,,"White Gold|7",ENG-SOL-OV-WG-7,189900,standard,5,true,,metal:White Gold
,,,,,,"Yellow Gold|6",ENG-SOL-OV-YG-6,189900,standard,5,true,,metal:Yellow Gold
,,,,,,"Yellow Gold|7",ENG-SOL-OV-YG-7,189900,standard,5,true,,metal:Yellow Gold
,,,,,,"Rose Gold|6",ENG-SOL-OV-RG-6,189900,standard,5,true,,metal:Rose Gold
,,,,,,"Rose Gold|7",ENG-SOL-OV-RG-7,189900,standard,5,true,,metal:Rose Gold
,,,,,,"Platinum|6",ENG-SOL-OV-PT-6,229900,standard,3,true,,metal:Platinum
,,,,,,"Platinum|7",ENG-SOL-OV-PT-7,229900,standard,3,true,,metal:Platinum
Emerald Cut Diamond Ring,emerald-cut-diamond-ring,"A sophisticated emerald cut diamond showcases its unique step-cut facets with a hall-of-mirrors effect. Set in a simple bezel or prong setting, this Art Deco-inspired ring exudes timeless elegance.",,category:Rings|type:Engagement Ring|shape:Emerald|style:Solitaire,Metal|Ring Size,White Gold|6,ENG-SOL-EM-WG-6,199900,standard,5,true,,metal:White Gold
,,,,,,"White Gold|7",ENG-SOL-EM-WG-7,199900,standard,5,true,,metal:White Gold
,,,,,,"Yellow Gold|6",ENG-SOL-EM-YG-6,199900,standard,5,true,,metal:Yellow Gold
,,,,,,"Rose Gold|6",ENG-SOL-EM-RG-6,199900,standard,5,true,,metal:Rose Gold
,,,,,,"Platinum|6",ENG-SOL-EM-PT-6,249900,standard,3,true,,metal:Platinum
,,,,,,"Platinum|7",ENG-SOL-EM-PT-7,249900,standard,3,true,,metal:Platinum
Pear Shaped Diamond Ring,pear-shaped-diamond-ring,"A romantic pear shaped diamond — also known as a teardrop cut — combines the elegance of a round and marquise cut. The tapered point is traditionally worn facing toward the fingertip for a slimming effect.",,category:Rings|type:Engagement Ring|shape:Pear|style:Solitaire,Metal|Ring Size,White Gold|6,ENG-SOL-PE-WG-6,179900,standard,5,true,,metal:White Gold
,,,,,,"White Gold|7",ENG-SOL-PE-WG-7,179900,standard,5,true,,metal:White Gold
,,,,,,"Yellow Gold|6",ENG-SOL-PE-YG-6,179900,standard,5,true,,metal:Yellow Gold
,,,,,,"Rose Gold|6",ENG-SOL-PE-RG-6,179900,standard,5,true,,metal:Rose Gold
,,,,,,"Platinum|6",ENG-SOL-PE-PT-6,219900,standard,3,true,,metal:Platinum
Lab Grown Round Diamond Solitaire Ring,lab-grown-round-diamond-solitaire,"A brilliant lab grown round diamond set in a classic solitaire setting. Chemically and optically identical to mined diamonds at a fraction of the cost. The ethical, sustainable choice without compromising beauty.",,category:Rings|type:Engagement Ring|shape:Round|style:Solitaire|diamond-type:Lab Grown,Metal|Ring Size,White Gold|6,ENG-LAB-RD-WG-6,99900,standard,8,true,,metal:White Gold
,,,,,,"White Gold|7",ENG-LAB-RD-WG-7,99900,standard,8,true,,metal:White Gold
,,,,,,"Yellow Gold|6",ENG-LAB-RD-YG-6,99900,standard,8,true,,metal:Yellow Gold
,,,,,,"Yellow Gold|7",ENG-LAB-RD-YG-7,99900,standard,8,true,,metal:Yellow Gold
,,,,,,"Rose Gold|6",ENG-LAB-RD-RG-6,99900,standard,8,true,,metal:Rose Gold
,,,,,,"Rose Gold|7",ENG-LAB-RD-RG-7,99900,standard,8,true,,metal:Rose Gold
,,,,,,"Platinum|6",ENG-LAB-RD-PT-6,129900,standard,5,true,,metal:Platinum
,,,,,,"Platinum|7",ENG-LAB-RD-PT-7,129900,standard,3,true,,metal:Platinum
Lab Grown Oval Diamond Ring,lab-grown-oval-diamond-ring,"An elongated lab grown oval diamond in a delicate pave band. Lab grown diamonds are graded to the same standards as natural diamonds and offer exceptional value. Perfect for the eco-conscious couple.",,category:Rings|type:Engagement Ring|shape:Oval|style:Solitaire|diamond-type:Lab Grown,Metal|Ring Size,White Gold|6,ENG-LAB-OV-WG-6,119900,standard,8,true,,metal:White Gold
,,,,,,"White Gold|7",ENG-LAB-OV-WG-7,119900,standard,8,true,,metal:White Gold
,,,,,,"Yellow Gold|6",ENG-LAB-OV-YG-6,119900,standard,8,true,,metal:Yellow Gold
,,,,,,"Rose Gold|6",ENG-LAB-OV-RG-6,119900,standard,8,true,,metal:Rose Gold
,,,,,,"Platinum|6",ENG-LAB-OV-PT-6,149900,standard,5,true,,metal:Platinum
Classic Men's Wedding Band,mens-classic-wedding-band,"A sleek, polished men's wedding band crafted in premium metals. A timeless design that pairs beautifully with any engagement ring. Available in multiple widths and metals.",,category:Rings|type:Wedding Band|gender:Men,Metal|Width,White Gold|4mm,BAND-M-WG-4,89900,standard,10,true,,metal:White Gold
,,,,,,"White Gold|6mm",BAND-M-WG-6,99900,standard,10,true,,metal:White Gold
,,,,,,"Yellow Gold|4mm",BAND-M-YG-4,89900,standard,10,true,,metal:Yellow Gold
,,,,,,"Yellow Gold|6mm",BAND-M-YG-6,99900,standard,10,true,,metal:Yellow Gold
,,,,,,"Rose Gold|4mm",BAND-M-RG-4,89900,standard,10,true,,metal:Rose Gold
,,,,,,"Rose Gold|6mm",BAND-M-RG-6,99900,standard,10,true,,metal:Rose Gold
,,,,,,"Platinum|4mm",BAND-M-PT-4,129900,standard,5,true,,metal:Platinum
,,,,,,"Platinum|6mm",BAND-M-PT-6,149900,standard,5,true,,metal:Platinum
Diamond Pavé Women's Wedding Band,womens-pave-diamond-wedding-band,"A delicate women's wedding band set with a continuous row of sparkling pavé diamonds. Designed to stack beautifully with any engagement ring. A perfect symbol of eternal love.",,category:Rings|type:Wedding Band|gender:Women,Metal|Ring Size,White Gold|5,BAND-W-WG-5,119900,standard,8,true,,metal:White Gold
,,,,,,"White Gold|6",BAND-W-WG-6,119900,standard,8,true,,metal:White Gold
,,,,,,"White Gold|7",BAND-W-WG-7,119900,standard,8,true,,metal:White Gold
,,,,,,"Yellow Gold|5",BAND-W-YG-5,119900,standard,8,true,,metal:Yellow Gold
,,,,,,"Yellow Gold|6",BAND-W-YG-6,119900,standard,8,true,,metal:Yellow Gold
,,,,,,"Rose Gold|5",BAND-W-RG-5,119900,standard,8,true,,metal:Rose Gold
,,,,,,"Rose Gold|6",BAND-W-RG-6,119900,standard,8,true,,metal:Rose Gold
,,,,,,"Platinum|5",BAND-W-PT-5,159900,standard,5,true,,metal:Platinum
,,,,,,"Platinum|6",BAND-W-PT-6,159900,standard,5,true,,metal:Platinum
Diamond Tennis Necklace,diamond-tennis-necklace,"A classic diamond tennis necklace featuring a continuous line of brilliant round diamonds set in a flexible four-prong setting. A timeless piece that elevates any outfit, from casual to formal.",,category:Necklaces|type:Tennis Necklace,Metal|Length,White Gold|16 inch,NECK-TEN-WG-16,349900,standard,5,true,,metal:White Gold
,,,,,,"White Gold|18 inch",NECK-TEN-WG-18,349900,standard,5,true,,metal:White Gold
,,,,,,"Yellow Gold|16 inch",NECK-TEN-YG-16,349900,standard,5,true,,metal:Yellow Gold
,,,,,,"Yellow Gold|18 inch",NECK-TEN-YG-18,349900,standard,5,true,,metal:Yellow Gold
,,,,,,"Rose Gold|16 inch",NECK-TEN-RG-16,349900,standard,5,true,,metal:Rose Gold
,,,,,,"Platinum|18 inch",NECK-TEN-PT-18,429900,standard,3,true,,metal:Platinum
Diamond Stud Earrings,diamond-stud-earrings,"Timeless round brilliant diamond stud earrings set in a classic four-prong setting with secure screw-back closures. A jewelry wardrobe essential that transitions seamlessly from day to evening.",,category:Earrings|type:Stud Earrings,Metal|Carat Total Weight,White Gold|0.50 ctw,EARR-STUD-WG-050,79900,standard,8,true,,metal:White Gold
,,,,,,"White Gold|1.00 ctw",EARR-STUD-WG-100,149900,standard,5,true,,metal:White Gold
,,,,,,"White Gold|2.00 ctw",EARR-STUD-WG-200,279900,standard,3,true,,metal:White Gold
,,,,,,"Yellow Gold|0.50 ctw",EARR-STUD-YG-050,79900,standard,8,true,,metal:Yellow Gold
,,,,,,"Yellow Gold|1.00 ctw",EARR-STUD-YG-100,149900,standard,5,true,,metal:Yellow Gold
,,,,,,"Rose Gold|0.50 ctw",EARR-STUD-RG-050,79900,standard,8,true,,metal:Rose Gold
,,,,,,"Rose Gold|1.00 ctw",EARR-STUD-RG-100,149900,standard,5,true,,metal:Rose Gold
,,,,,,"Platinum|0.50 ctw",EARR-STUD-PT-050,99900,standard,5,true,,metal:Platinum
,,,,,,"Platinum|1.00 ctw",EARR-STUD-PT-100,189900,standard,3,true,,metal:Platinum
Diamond Promise Ring,diamond-promise-ring,"A beautiful promise ring featuring a single sparkling diamond set in a delicate band. A meaningful symbol of commitment, love, and a future together. Perfect for anniversaries and special occasions.",,category:Rings|type:Promise Ring,Metal|Ring Size,White Gold|6,PROM-SOL-WG-6,69900,standard,10,true,,metal:White Gold
,,,,,,"White Gold|7",PROM-SOL-WG-7,69900,standard,10,true,,metal:White Gold
,,,,,,"Yellow Gold|6",PROM-SOL-YG-6,69900,standard,10,true,,metal:Yellow Gold
,,,,,,"Yellow Gold|7",PROM-SOL-YG-7,69900,standard,10,true,,metal:Yellow Gold
,,,,,,"Rose Gold|6",PROM-SOL-RG-6,69900,standard,10,true,,metal:Rose Gold
,,,,,,"Rose Gold|7",PROM-SOL-RG-7,69900,standard,10,true,,metal:Rose Gold
,,,,,,"Platinum|6",PROM-SOL-PT-6,89900,standard,5,true,,metal:Platinum
